filename;Binomial denomination;Extraction Method;Inaturalist
20220504_GroupA_DGBI_01_06_01;Allium ursinum;Methanol;https://www.inaturalist.org/observations/111308148
20220504_GroupA_DGBI_01_06_02;Allium ursinum;Heptane;https://www.inaturalist.org/observations/111308148
20220504_GroupA_DGBI_01_06_03;Allium ursinum;Dichloromethane;https://www.inaturalist.org/observations/111308148
20220504_GroupA_DGBI_01_06_04;Lavandula angustifolia;Methanol;https://www.inaturalist.org/observations/111309381
20220504_GroupA_DGBI_01_06_05;Lavandula angustifolia;Heptane;https://www.inaturalist.org/observations/111309381
20220504_GroupA_DGBI_01_06_06;Lavandula angustifolia;Dichloromethane;https://www.inaturalist.org/observations/111309381
20220504_GroupA_DGBI_01_06_07;Melissa officinalis;Methanol;https://www.inaturalist.org/observations/112942402
20220504_GroupA_DGBI_01_06_08;Melissa officinalis;Heptane;https://www.inaturalist.org/observations/112942402
20220504_GroupA_DGBI_01_06_09;Melissa officinalis;Dichloromethane;https://www.inaturalist.org/observations/112942402
20220504_GroupA_DGBI_01_06_10;Mentha × piperita;Methanol;https://www.inaturalist.org/observations/112942446
20220504_GroupA_DGBI_01_06_11;Mentha × piperita;Heptane;https://www.inaturalist.org/observations/112942446
20220504_GroupA_DGBI_01_06_12;Mentha × piperita;Dichloromethane;https://www.inaturalist.org/observations/112942446
20220504_GroupA_DGBI_01_06_13;Allium insubricum;Methanol;https://www.inaturalist.org/observations/112942497
20220504_GroupA_DGBI_01_06_14;Allium insubricum;Heptane;https://www.inaturalist.org/observations/112942497
20220504_GroupA_DGBI_01_06_15;Allium insubricum;Dichloromethane;https://www.inaturalist.org/observations/112942497
20220504_GroupA_DGBI_01_06_16;Allium fistulosum;Methanol;https://www.inaturalist.org/observations/112942553
20220504_GroupA_DGBI_01_06_17;Allium fistulosum;Heptane;https://www.inaturalist.org/observations/112942553
20220504_GroupA_DGBI_01_06_18;Allium fistulosum;Dichloromethane;https://www.inaturalist.org/observations/112942553
20220504_GroupA_DGBI_01_06_blanc_methanol;ND;Methanol;ND
20220504_GroupA_DGBI_01_06_blanc_heptane;ND;Heptane;ND
20220504_GroupA_DGBI_01_06_blanc_dicholormethane;ND;Dichloromethane;ND
